,Buffett,CAPE,M2_YoY,VIX,CI_Loans_YoY,FedBalanceSheet_YoY,RRP_YoY,HY_Spread,IG_Spread,VolTerm,Pressure_raw,Trigger_raw,Buffett_z,CAPE_z,M2_YoY_z,VIX_z,CI_Loans_z,FedBalanceSheet_z,RRP_z,HY_Spread_z,IG_Spread_z,VolTerm_z,Pressure_z,Trigger_z,Composite,Composite_real_time,SP500,SPX_Drawdown
1990-12-31,52.1266,15.8463,3.4476,26.3800,1.1306,5.5482,0.0000,4.3900,2.3595,1.0010,23.0345,-3.9465,-0.8331,-0.6918,-1.1823,0.5884,-1.1011,0.0000,0.0000,0.0000,1.2314,0.0000,-0.8754,0.2608,-0.3294,,330.2200,0.0000
1991-01-31,53.6774,15.6062,3.9785,20.9100,-0.3471,5.5482,0.0000,4.3900,2.3605,1.0010,22.9788,-3.2407,-0.4234,-0.8987,-0.6997,-0.9027,-1.5000,0.0000,0.0000,0.0000,1.1840,0.0000,-0.9407,0.3981,-0.2247,,343.9300,0.0000
1991-02-28,58.0677,17.3547,3.9429,21.2300,-0.2669,5.5482,0.0000,4.3900,2.2137,1.0010,25.0518,-3.3023,0.7068,0.8345,-0.7098,-0.7877,-1.3867,0.0000,0.0000,0.0000,0.8562,0.0000,0.0516,0.3362,0.5266,,367.0700,0.0000
1991-03-31,59.7570,17.8186,4.2517,16.8800,-0.3990,5.5482,0.0000,4.3900,1.9800,1.0010,25.7255,-2.7584,1.1055,1.2412,-0.4266,-1.8393,-1.3520,0.0000,0.0000,0.0000,0.3744,0.0000,0.3316,0.3772,0.8084,,375.2200,0.0000
1991-04-30,59.9853,18.1553,3.8646,18.2400,-1.5300,5.5482,0.0000,4.3900,1.9032,1.0010,25.5369,-2.9084,1.1176,1.4839,-0.7535,-1.3948,-1.6006,0.0000,0.0000,0.0000,0.2129,0.0000,0.3336,0.3373,0.8121,,375.3400,0.0000
1991-05-31,61.6019,18.0354,4.5498,15.9300,-1.5815,5.5482,0.0000,4.3900,1.7959,1.0010,26.0186,-2.6916,1.4546,1.3012,-0.1292,-1.8395,-1.5201,0.0000,0.0000,0.0000,-0.0016,0.0000,0.4119,0.2810,0.7778,,389.8300,0.0000
1991-06-30,57.3791,18.0152,4.2671,19.5500,-2.3080,5.5482,0.0000,4.3900,1.6780,1.0010,24.3621,-3.1852,0.3664,1.2266,-0.3831,-0.9071,-1.6288,0.0000,0.0000,0.0000,-0.2295,0.0000,-0.0119,0.1515,0.3192,,371.1600,-0.0479
1991-07-31,60.6454,18.1035,3.8519,15.1800,-2.6270,5.5482,0.0000,4.3900,1.6218,1.0010,25.3740,-2.5096,1.1680,1.2546,-0.7530,-1.8497,-1.6171,0.0000,0.0000,0.0000,-0.3308,0.0000,0.2685,0.3246,0.7750,,387.8100,-0.0052
1991-08-31,62.1050,18.5123,3.4386,14.4600,-2.9666,5.5482,0.0000,4.3900,1.7455,1.0010,25.8835,-2.3300,1.4658,1.5490,-1.1031,-1.8713,-1.6129,0.0000,0.0000,0.0000,-0.0810,0.0000,0.4673,0.4134,1.0477,,395.4300,0.0000
1991-09-30,60.0127,18.3573,2.5535,15.8500,-2.7597,5.5482,0.0000,4.3900,1.8645,1.0010,25.2034,-2.3852,0.9105,1.3448,-1.8043,-1.4761,-1.4778,0.0000,0.0000,0.0000,0.1524,0.0000,0.2592,0.4904,0.9878,,387.8600,-0.0191
1991-10-31,61.1818,18.3492,3.1299,15.4800,-3.1873,5.5482,0.0000,4.3900,1.9630,1.0010,25.4479,-2.4006,1.1640,1.2839,-1.2342,-1.4829,-1.5135,0.0000,0.0000,0.0000,0.3392,0.0000,0.3115,0.4366,0.9251,,392.4500,-0.0075
1991-11-30,58.7502,18.2889,3.0111,20.2600,-3.2271,5.5482,0.0000,4.3900,2.0370,1.0010,24.6040,-3.0559,0.5415,1.1866,-1.2883,-0.4273,-1.4539,0.0000,0.0000,0.0000,0.4732,0.0000,0.0914,0.3127,0.5949,,375.2200,-0.0511
1991-12-31,64.7519,18.4417,2.5641,19.3100,-3.6924,5.5482,0.0000,4.3900,2.1705,1.0010,26.5004,-2.8373,1.9264,1.2731,-1.5981,-0.6259,-1.5012,0.0000,0.0000,0.0000,0.7196,0.0000,0.5661,0.4205,1.1165,,417.0900,0.0000
