,Buffett,CAPE,M2_YoY,VIX,CI_Loans_YoY,FedBalanceSheet_YoY,RRP_YoY,HY_Spread,IG_Spread,VolTerm,Buffett_z,CAPE_z,M2_YoY_z,VIX_z,CI_Loans_z,FedBalanceSheet_z,RRP_z,HY_Spread_z,IG_Spread_z,VolTerm_z,Composite,Composite_real_time,SP500,SPX_Drawdown
2016-08-31,120.5789,26.9489,6.9637,13.4200,7.4316,-0.4017,0.2000,5.3000,2.6839,0.7918,0.6642,1.1199,1.9015,-0.7962,-2.4332,-0.7464,1.2540,-0.3057,-0.4639,-1.6507,-0.4727,,2170.9500,0.0000
2016-09-30,119.6119,26.7279,7.0771,13.2900,7.9924,-0.7161,0.2000,5.1455,2.6810,0.8330,0.4413,0.8327,1.8997,-0.8011,-1.8419,-0.7729,1.1912,-0.4374,-0.4611,-0.8705,-0.3543,,2168.2700,-0.0012
2016-10-31,116.8065,26.5251,6.6751,17.0600,8.2532,-0.7799,0.2000,4.7367,2.6120,0.8748,-0.1814,0.5796,1.1528,0.1388,-1.5517,-0.7597,1.1372,-0.7939,-0.6447,-0.1047,-0.4596,,2126.1499,-0.0206
2016-11-30,122.1370,26.8510,7.0778,13.3300,7.0377,-0.7093,0.2000,4.8891,2.5660,0.8929,0.9935,0.9330,1.6992,-0.7880,-2.0897,-0.7266,1.0899,-0.6335,-0.7579,0.2268,-0.0404,,2198.8101,0.0000
2016-12-31,122.2982,27.8651,6.6976,14.0400,6.4390,-0.7831,0.2500,4.2827,2.3352,0.7933,0.9930,1.9453,1.0364,-0.5911,-2.1776,-0.7191,1.5017,-1.1593,-1.3689,-1.5565,-0.1793,,2238.8301,0.0000
2017-01-31,124.8621,28.0636,5.7573,11.9900,5.6191,-0.6584,0.2500,4.0114,2.2280,0.8000,1.4852,1.9724,-0.4882,-1.0811,-2.3173,-0.6801,1.4204,-1.3448,-1.5767,-1.3601,0.3225,,2278.8701,0.0000
2017-02-28,129.3526,28.6551,6.0980,12.9200,4.9670,-0.4698,0.2500,3.8530,2.2221,0.8120,2.2173,2.3017,0.0745,-0.8168,-2.3370,-0.6323,1.3511,-1.4147,-1.5031,-1.0986,0.4687,,2363.6399,0.0000
2017-03-31,127.3570,29.0869,5.7998,12.3700,2.0444,-0.2949,0.5000,3.8983,2.2000,0.8339,1.6897,2.3978,-0.4198,-0.9307,-3.0104,-0.5886,3.0401,-1.3111,-1.4806,-0.6879,0.6843,,2362.7200,-0.0004
2017-04-30,129.2014,28.9042,6.1321,10.8200,1.6510,-0.1011,0.5000,3.9110,2.2721,0.9266,1.8985,2.0436,0.1456,-1.2785,-2.7085,-0.5431,2.6273,-1.2463,-1.2330,0.9662,0.9709,,2384.2000,0.0000
2017-05-31,129.9349,29.3133,6.0498,10.4100,0.7897,-0.0332,0.5000,3.7435,2.2459,0.8305,1.8882,2.1644,0.0027,-1.3246,-2.6144,-0.5207,2.3474,-1.3349,-1.2513,-0.7620,0.6193,,2411.8000,0.0000
